surface,adsorption site,ads initial x,ads initial y,ads initial z,ads final x,ads final y,ads final z,adsorption energy
LiMg2_mp-865939_100,bridge_1,0.8634597487000009,2.5924751391767313,20.703131825100005,0.8634698616,2.5877636219,21.125852917,-0.2164691346652682
LiMg2_mp-865939_100,ontop_0,0.8634597486999996,0.8600209838720987,20.703131825100005,0.8634623305,0.8667550985,21.5730326191,0.0592665788625133
LiMg2_mp-865939_110,bridge_1,3.5721706669783915,1.5734500709770065,17.422157468800002,3.5679612362,1.6216154652,17.5813514395,-0.0835304318515414
LiMg2_mp-865939_110,bridge_5,1.8704091125491786,3.9908535966770127,17.422157468800002,1.8562770511,4.516123104,16.9334742941,-0.6292251562432792
LiMg2_mp-865939_110,hollow_0,3.5820078479068562,2.37925124621034,17.422157468800002,3.5893941612,3.7342065992,17.337654739,-0.3521695646433824
LiMg2_mp-865939_110,hollow_1,3.0101751052714305,0.5689028935422342,17.422157468800002,3.5280207143,-0.576903648,16.8553017708,-0.6303104040191543
LiMg2_mp-865939_110,hollow_3,2.432404674256149,4.995400774111785,17.422157468800002,1.9341772399,4.7181258562,16.8945819628,-0.6293873974140997
LiMg2_mp-865939_110,ontop_0,3.6016822097637866,3.9908535966770065,17.422157468800002,3.6320827747,4.0198439761,17.314700305,-0.3543903672709604
LiMg2_mp-865939_110,ontop_1,1.8408975697637862,1.5734500709770065,17.422157468800002,1.8553820076,4.2023157154,16.9005030097,-0.6305338858057772
LiMg2_mp-865939_111,bridge_0,2.4319008591964213,2.443978320223186,18.5446420189,3.5769252909,1.7352712823,17.731448509,-0.8497689572381769
LiMg2_mp-865939_111,bridge_2,3.6547313701066773,0.47202417472318703,18.5446420189,3.6527068145,1.4163363509,17.759091127,-0.8540619256628506
LiMg2_mp-865939_111,hollow_0,1.2089121095395852,3.1012963687231863,18.5446420189,1.2046621922,2.1757020763,17.4292531285,-0.9347036782850822
LiMg2_mp-865939_111,hollow_1,3.6548896088532596,1.7866602717231879,18.5446420189,3.6487174313,1.591893263,17.7359900396,-0.8526851594381188
LiMg2_mp-865939_111,ontop_0,3.6552060863464217,4.415932465723186,18.5446420189,3.6418047221,2.0236644363,17.651338731,-0.8441176964065213
LiMg2_mp-865939_111,ontop_1,1.2085956320464222,0.4720241747231835,18.5446420189,1.2057773524,-3.2381407554,17.2218618439,-0.9341346647806912
LiMg_mp-1094673_100,bridge_2,2.5336043308000025,0.8881537280000008,20.6272927485,2.5336800083,0.8881541618,20.7587186371,0.0175795290448301
LiMg_mp-1094673_100,ontop_0,0.8445118307999999,0.8881537279999998,20.6272927485,0.8444635089,0.8881554809,21.2451198855,0.1739157446208409
LiMg_mp-1094673_110,bridge_1,0.8881474060999991,1.194369729700003,24.191035455699996,0.8881441738,1.1943795435,24.1788768595,-0.2765296510222204
LiMg_mp-1094673_110,bridge_2,2.664442043199994,3.5830918667000002,24.191035455699996,2.66444506,3.5830984062,24.1123697765,-0.2452991095549607
LiMg_mp-1094673_110,hollow_0,0.8881439518,1.990610442033334,24.191035455699996,0.8881474346,1.4291500565,24.1669953638,-0.2731642498341987
LiMg_mp-1094673_110,hollow_1,2.6644454974999983,4.379342835435119,24.191035455699996,2.6644467988,3.8232213784,24.1058316435,-0.2428125699184231
LiMg_mp-1094673_110,ontop_0,2.6644524061,1.1943697297000002,24.191035455699996,2.6644530938,1.1943687911,24.3772618937,-0.138722144381513
LiMg_mp-1094673_110,ontop_1,0.8881370431999999,3.5830918667000002,24.191035455699996,0.8881383589,3.5830963958,24.1774839533,-0.2741336790885941
LiMg_mp-1094673_111,bridge_0,0.5453507570444645,0.050243975329109576,17.102913190400002,1.5875393276,-0.5424794234,15.9715682388,-0.4685605212306417
LiMg_mp-1094673_111,bridge_1,4.121367266094255,2.190519143312192,17.102913190400002,4.1804268156,3.344366371,16.1388195455,-0.4679302385389352
LiMg_mp-1094673_111,hollow_0,4.122519230302972,0.7636690313234693,17.102913190400002,4.17131517,0.7214246559,16.3011333162,-0.6802799495644527
